Allir,Alls,348756,693282,360705,729250,368177,758107,376784,771717,394815,802351,438635,889386,479751,968904,520807,1035085,593256,1165953,671887,1310719,689244,1339879,685521,1333753,675188,1309777,770684,1486096,906254,1787059,1047241,2050163,992658,1834215
Allir,Íslendingar,115683,179778,112776,175749,108382,172122,95871,147714,101759,159111,112241,172970,118792,193242,137635,217585,156551,247779,184100,295004,181467,288215,163592,259619,163311,255894,172690,271856,187664,306966,202314,341039,157246,258123
Allir,Útlendingar,233073,513504,247929,553501,259795,585985,280913,624003,293056,643240,326394,716416,360959,775662,383172,817500,436705,918174,487787,1015715,507777,1051664,521929,1074134,511877,1053883,597994,1214240,718590,1480093,844927,1709124,835412,1576092
Janúar,Alls,11029,22956,12173,25966,12751,28348,13322,29692,13837,31413,14570,30659,14672,32056,16010,35960,18322,40382,22541,50981,26357,58449,22911,54721,23427,54865,23031,53598,28964,72322,37690,91145,49296,119764
Janúar,Íslendingar,6585,10537,6488,10027,6234,10568,6090,9405,5744,8912,5585,8275,5877,9680,7107,11020,8372,13247,9332,14426,11442,18499,7892,12317,7963,12813,7286,11357,8106,13984,8971,16058,10920,20012
Janúar,Útlendingar,4444,12419,5685,15939,6517,17780,7232,20287,8093,22501,8985,22384,8795,22376,8903,24940,9950,27135,13209,36555,14915,39950,15019,42404,15464,42052,15745,42241,20858,58338,28719,75087,38376,99752
Febrúar,Alls,16299,33955,18121,38813,19116,40055,18812,42712,20426,47092,19886,45938,22771,53651,23731,53027,25504,55885,30801,65645,35842,77603,32453,72829,33453,77841,35223,79917,45373,103210,58605,141767,70929,160532
Febrúar,Íslendingar,9080,14427,9127,14646,9124,13872,7129,11334,8741,14096,8157,12436,8465,14832,10184,15907,10547,17855,12270,19407,15148,23551,11845,19541,11727,19881,11795,19497,13528,23074,13399,25121,14976,25011
Febrúar,Útlendingar,7219,19528,8994,24167,9992,26183,11683,31378,11685,32996,11729,33502,14306,38819,13547,37120,14957,38030,18531,46238,20694,54052,20608,53288,21726,57960,23428,60420,31845,80136,45206,116646,55953,135521
Mars,Alls,22374,48391,23171,51105,26098,59111,27386,63168,25534,62937,26911,63816,27833,68071,28819,65189,35381,73678,44131,88129,39347,82953,37331,84493,43104,95407,43400,97325,58053,133545,71056,167544,84433,190047
Mars,Íslendingar,11811,20316,12689,21611,11747,20881,10041,17627,10134,19293,12063,20416,10945,19768,11374,20024,16281,25860,17379,26951,15507,25767,15487,26496,15971,25867,15982,25990,18565,30547,18689,33649,19937,32703
Mars,Útlendingar,10563,28075,10482,29494,14351,38230,17345,45541,15400,43644,14848,43400,16888,48303,17445,45165,19100,47818,26752,61178,23840,57186,21844,57997,27133,69540,27418,71335,39488,102998,52367,133895,64496,157344
Apríl,Alls,22073,48465,23523,54110,23611,60695,26168,61995,26201,58374,27380,65719,30193,71422,34749,77276,36147,80067,43079,90229,45510,91809,43657,93054,41781,87836,51623,109259,51793,120855,59112,132297,72118,157649
Apríl,Íslendingar,10038,16074,11153,18548,10275,19666,8624,15129,10713,17752,10192,15523,10526,18840,14811,24841,13548,23486,14446,24343,18756,30587,13537,23373,15070,23995,16939,27212,14906,25270,16820,28545,19094,33074
Apríl,Útlendingar,12035,32391,12370,35562,13336,41029,17544,46866,15488,40622,17188,50196,19667,52582,19938,52435,22599,56581,28633,65886,26754,61222,30120,69681,26711,63841,34684,82047,36887,95585,42292,103752,53024,124575
Maí,Alls,28792,62305,25966,62708,27131,62450,30172,64351,31547,69599,37677,79739,36877,82547,42203,87234,47564,101453,57815,117469,59295,117925,56455,116523,52686,106358,60723,120544,69310,139572,80895,160557,90311,179644
Maí,Íslendingar,11035,17046,9266,15367,9527,14918,9740,14677,9146,14019,11323,17246,10699,18225,12503,20490,12432,19551,15662,26072,17414,28183,16965,27349,14487,22422,15663,23154,17651,27182,19513,33137,21292,35622
Maí,Útlendingar,17757,45259,16700,47341,17604,47532,20432,49674,22401,55580,26354,62493,26178,64322,29700,66744,35132,81902,42153,91397,41881,89742,39490,89174,38199,83936,45060,97390,51659,112390,61382,127420,69019,144022
Júní,Alls,40147,80757,42525,83928,44206,88553,45036,88328,48324,97894,51370,100570,56830,113295,64621,123921,71989,132790,80672,156313,85192,155799,83281,148818,86294,156516,99650,178772,115312,208399,132004,231809,142467,240468
Júní,Íslendingar,9367,13787,8960,13172,8531,13064,8044,11708,7764,12662,7721,12329,8733,14676,11168,18506,13341,21344,15762,25906,16043,26083,14530,23279,11286,17692,15366,24689,16820,28429,18736,29760,16186,25648
Júní,Útlendingar,30780,66970,33565,70756,35675,75489,36992,76620,40560,85232,43649,88241,48097,98619,53453,105415,58648,111446,64910,130407,69149,129716,68751,125539,75008,138824,84284,154083,98492,179970,113268,202049,126281,214820
Júlí,Alls,63701,108728,65633,113622,66029,115920,65412,109351,70037,119027,75195,127905,87612,153218,92190,158012,101715,177833,113106,196805,118432,202158,123910,203197,120549,196706,138574,227517,161869,263846,177453,285435,192020,299333
Júlí,Íslendingar,11026,14630,10185,13676,9591,13652,8579,11768,7753,11194,8097,10961,9676,14213,11972,18101,12371,19237,15377,23781,16659,24804,14462,20906,12984,18043,15919,23407,16769,26405,17049,26331,17313,25761
Júlí,Útlendingar,52675,94098,55448,99946,56438,102268,56833,97583,62284,107833,67098,116944,77936,139005,80218,139911,89344,158596,97729,173024,101773,177354,109448,182291,107565,178663,122655,204110,145100,237441,160404,259104,174707,273572
Ágúst,Alls,60478,105251,60461,106485,60885,106406,61214,108945,63503,112983,73584,133163,77684,138251,82903,154146,94467,163795,107761,186146,108988,190488,120399,205226,108284,190462,128625,218541,146413,248314,159645,259891,183660,287481
Ágúst,Íslendingar,10800,15138,9535,13554,9259,13255,7256,10118,7912,11325,9506,14387,9413,14374,10791,16470,12689,20199,17769,27924,16369,25885,15533,24195,14928,24150,16782,26693,17262,27186,17926,28030,17805,26816
Ágúst,Útlendingar,49678,90113,50926,92931,51626,93151,53958,98827,55591,101658,64078,118776,68271,123877,72112,137676,81778,143596,89992,158222,92619,164603,104866,181031,93356,166312,111843,191848,129151,221128,141719,231861,165855,260665
September,Alls,29029,64467,30829,65819,29347,63702,29930,65687,34424,70735,38182,77931,40546,81919,47270,93929,58171,116116,58295,120655,60322,122446,58791,121166,57518,113906,70038,136496,80243,158710,86210,167097,107424,199297
September,Íslendingar,7909,13320,8049,12711,8339,12726,7378,11185,7908,12234,9157,14137,10727,17290,11243,17948,14266,22778,16954,29418,14596,24326,12845,22615,15157,25693,15480,24774,17680,28696,19401,35286,19723,33476
September,Útlendingar,21120,51147,22780,53108,21008,50976,22552,54502,26516,58501,29025,63794,29819,64629,36027,75981,43905,93338,41341,91237,45726,98120,45946,98551,42361,88213,54558,111722,62563,130014,66809,131811,87701,165821
Október,Alls,22686,49727,25086,54301,23866,54690,24582,59259,26394,58228,34953,78470,40327,84043,39154,86643,44389,97900,49856,108791,47965,103912,45957,106365,48749,105111,54375,117158,61460,133597,74402,157847,..,..
Október,Íslendingar,11492,19071,11682,17619,10156,15792,8903,14106,10152,15339,13442,21581,12426,20827,12972,20392,15599,24522,18933,30638,14621,23747,15581,23863,18403,28095,16900,27276,16380,27531,20710,36180,..,..
Október,Útlendingar,11194,30656,13404,36682,13710,38898,15679,45153,16242,42889,21511,56889,27901,63216,26182,66251,28790,73378,30923,78153,33344,80165,30376,82502,30346,77016,37475,89882,45080,106066,53692,121667,..,..
Nóvember,Alls,20533,42701,20475,43470,22237,48813,20801,45683,22170,45753,23403,50754,25411,53070,28300,57449,34922,72432,37924,75919,36224,77495,34795,71453,33314,70437,35465,77631,49410,115473,61472,137675,..,..
Nóvember,Íslendingar,11027,16952,10383,16005,10266,15845,8862,13394,10934,15110,11138,16807,12272,18180,13935,20078,16001,23283,17961,27157,15681,23340,14836,21715,14686,21515,13686,21324,16802,28557,19019,29821,..,..
Nóvember,Útlendingar,9506,25749,10092,27465,11971,32968,11939,32289,11236,30643,12265,33947,13139,34890,14365,37371,18921,49149,19963,48762,20543,54155,19959,49738,18628,48922,21779,56307,32608,86916,42453,107854,..,..
Desember,Alls,11615,25579,12742,28923,12900,29364,13949,32546,12418,28316,15524,34722,18995,37361,20857,42299,24685,53622,25906,53637,25770,58842,25581,55908,26029,54332,29957,69338,38054,89216,48697,117099,..,..
Desember,Íslendingar,5513,8480,5259,8813,5333,7883,5225,7263,4858,7175,5860,8872,9033,12337,9575,13808,11104,16417,12255,18981,9231,13443,10079,13970,10649,15728,10892,16483,13195,20105,12081,19121,..,..
Desember,Útlendingar,6102,17099,7483,20110,7567,21481,8724,25283,7560,21141,9664,25850,9962,25024,11282,28491,13581,37205,13651,34656,16539,45399,15502,41938,15380,38604,19065,52855,24859,69111,36616,97978,..,..
