Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.4,0.7,11.8,5.4,13.3,3.9,20.6,8.4,6.5,14,3.6,3.2,4.5,5,5.1,5.3,5.6
Albania,2.7,5.7,2.9,1.1,2,-1.5,5.6,-0.8,-1.4,9.8,-10,-28,-7.2,9.6,9.4,8.9,9.1,-10.2,12.7,10.1,7.3,7.9,4.2,5.8,5.7,5.8,5.4,5.9,7.5,3.4,3.5,2.3,1.1,0.4,2.1,3.3,4.2,4.5,4.5,4.7
Algeria,-5.4,3,6.4,5.4,5.6,5.6,-0.2,-0.7,-1.9,4.8,1.3,-1.2,1.6,-2.1,-0.9,3.8,3.8,1.1,5.1,3.2,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.8,3.3,2.8,3.8,4,3.8,3.9,3.8,3.9
American Samoa,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Andorra,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Angola,2.4,-4.4,0,4.2,6,3.5,2.9,4.1,6.1,0,-3.5,1,-5.8,-24,1.3,15,20,5.5,0,3.2,3,3.1,14.5,5.2,10.9,18.3,20.7,22.6,13.8,2.4,3.4,3.9,5.2,6.8,3.9,5.9,6.2,6.5,6.7,6.2
Anguilla,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Antigua and Barbuda,7.6,3.6,-1,5.8,9.8,7.9,8.9,9,5.7,6.8,2.3,2.7,0.8,5.1,6.2,-5,6.1,5.6,4.9,4.9,3.3,-4.4,2.5,5.7,3.2,7.2,12.7,7.1,1.5,-10.7,-8.5,-1.9,3.6,1.8,1.9,1.7,2,2,2,2
Argentina,0.7,-5.7,-3.1,3.7,2,-7,7.1,2.5,-2,-7,-1.3,10.5,10.3,6.3,5.8,-2.8,5.5,8.1,3.9,-3.4,-0.8,-4.4,-10.9,9,8.9,9.2,8.4,8,3.1,0.1,9.1,8.6,0.9,2.9,-1.7,-1.5,0,0,0,0
Armenia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-14.1,5.4,8,5.2,3.4,6.3,3.2,5.9,9.5,14.8,14.1,10.5,14.1,13.2,13.7,6.9,-14.1,2.2,4.7,7.1,3.5,3.2,3.5,3.7,4.1,4.3,4.5
Aruba,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Australia,2.9,4.1,0.1,-0.5,6.3,5.5,2.4,4.9,4.3,4.7,2.3,-1.2,2.7,4,4.7,3,4.3,4.1,5,4.2,3.1,2.6,3.9,3,4.1,3.1,2.7,4.5,2.7,1.5,2.2,2.6,3.6,2.3,2.8,2.9,3,3,3,3
Austria,2.3,-0.1,1.9,2.8,0.3,2.2,2.3,1.7,1,3.9,4.3,3.4,2.1,0.5,2.4,2.7,2.5,2.3,3.8,3.5,3.7,0.9,1.7,0.9,2.6,2.4,3.7,3.7,1.4,-3.8,1.8,2.8,0.9,0.3,1,1.9,1.7,1.6,1.5,1.3
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-23.1,-19.7,-13,2.5,8.9,6,11.4,6.2,6.5,8.1,10.5,10.2,26.4,34.5,25,10.8,9.3,5,0.1,2.2,5.8,4.5,4.3,3.5,3.2,4,4.2
"Bahamas, The",7.1,-2.9,6.3,6.8,2.4,4.1,2.6,3.7,2.3,2.3,1.1,-5.1,-3.4,0.3,2.7,3.1,4.7,11.7,4.7,7.1,4.1,2.6,2.7,-1.3,0.9,3.4,2.5,1.4,-2.3,-4.2,1.5,1.1,1,0.7,1.2,2.1,2,1.7,1.7,1.5
Bahrain,7.5,2.8,6.4,7,4.2,-0.9,0.5,-1.2,6,4.4,7.3,2.3,7.1,7.6,3.2,1.9,3.2,2.3,4.8,6,7,2.5,3.3,6.3,7,6.8,6.5,8.3,6.2,2.5,4.3,2.1,3.4,5.3,3.9,2.9,3.1,3.2,3.3,3.3
Bangladesh,0.4,3.1,3.2,4.6,4.2,3.7,4,2.9,2.4,4.3,4.6,4.2,4.8,4.3,4.5,4.8,5,5.3,5,5.4,5.6,4.8,4.8,5.8,6.1,6.3,6.5,6.3,6,5.7,6,6.5,6.3,6.1,6.2,6.4,6.8,7,7,7
Barbados,4.4,-1.9,-4.9,0.5,3.6,1.1,5.1,2.6,3.5,3.6,-3.3,-3.9,-5.7,0.8,2,2,4,4.7,3.7,0.4,2.3,-2.6,0.7,2,1.4,4,5.7,1.7,0.3,-4.1,0.2,0.8,0,-0.3,-0.6,0.5,1.5,1.7,2,2.2
Belarus,n/a,n/a,4,4.3,3,1.7,3.6,2.8,5.3,3,-2.3,-1.2,-9.6,-7.6,-11.7,-11.1,2.7,11.4,8.5,3.3,5.7,4.7,5,7,11.4,9.4,10,8.7,10.3,0.1,7.7,5.5,1.7,0.9,0.9,1.5,2,2.3,2.4,2.7
Belgium,4.4,-0.3,0.6,0.3,2.5,1.7,1.8,2.3,4.7,3.5,3.1,1.8,1.5,-1,3.2,2.4,1.4,3.7,1.9,3.5,3.7,0.8,1.4,0.8,3.3,1.8,2.7,2.9,1,-2.8,2.3,1.8,-0.1,0.2,1,1.4,1.5,1.4,1.3,1.2
Belize,5,0.2,-7.6,6.1,11.3,-1.4,7.3,22,10.9,15.5,11.2,11.5,12,6.3,0.2,0.7,1.4,3.5,3.7,8.8,13,5,5.1,9.3,4.6,3,4.7,1.2,3.8,0.3,3.1,2.1,4,0.7,2,2.5,2.5,2.5,2.5,2.5
Benin,9.3,1.9,1.7,-2,0.4,4.3,2.7,-2.1,3.4,-2.8,9,4.2,3,5.8,2,6,4.3,5.7,4,5.3,4.9,6.2,4.4,4,3.1,2.9,3.8,4.6,5,2.7,2.6,3.3,5.4,5.6,5.5,5.2,4.8,4.8,4.8,4.8
Bermuda,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Bhutan,5,13.6,8.2,7.3,7.6,4.3,8,20.2,15.1,6.2,9.1,4.9,2.1,3.2,3.5,6,6.2,5.4,5.6,6.9,6.5,6.7,9.5,9.1,6.7,6.5,7,12.6,10.8,5.7,9.3,10.1,6.5,5,6.4,7.6,8.2,8.6,11.5,8
Bolivia,0.6,0.3,-3.9,-4,-0.2,-1.7,-2.6,2.5,2.9,3.8,4.6,5.3,1.6,4.3,4.7,4.7,4.4,5,5,0.4,2.5,1.7,2.5,2.7,4.2,4.4,4.8,4.6,6.1,3.4,4.1,5.2,5.2,6.8,5.2,5,5,5,5,5
Bonaire,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Bosnia and Herzegovina,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.7,4.4,2.4,5.1,3.9,6.3,3.9,5.7,6,5.6,-2.7,0.8,1,-1.2,2.1,0.7,3.5,3.7,4,4,4
Botswana,12,8.2,15.9,10.8,6.5,7.7,8.6,14.9,23.4,4.7,8.8,6.2,-0.2,4,-0.8,8,4.4,9.7,10.4,9.8,5.9,0.3,6.1,4.6,2.7,4.6,8,8.7,3.9,-7.8,8.6,6.2,4.3,5.9,4.4,4.2,4,4.1,4.1,3.8
Brazil,9.2,-4.4,0.6,-3.4,5.3,7.9,7.5,3.6,0.3,3.2,-4.2,1,-0.5,4.7,5.3,4.4,2.1,3.4,0,0.3,4.3,1.3,2.7,1.1,5.7,3.2,4,6.1,5.2,-0.3,7.5,2.7,1,2.5,0.3,1.4,2.2,2.7,2.9,3
British Virgin Islands,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Brunei Darussalam,n/a,n/a,n/a,n/a,n/a,n/a,-2.8,0.3,-0.4,2.2,1.1,3.1,4.8,0.3,3.1,4.5,2.9,-1.5,-0.6,3.1,2.9,2.7,3.9,2.9,0.5,0.4,4.4,0.2,-1.9,-1.8,2.6,3.4,0.9,-1.8,5.3,3,3.4,5,5.2,3.3
Bulgaria,5.7,5.3,4.2,3,4.6,1.8,5.3,4.7,2.4,-0.5,-9.1,-10.8,-8.4,-11.6,-3.7,-1.6,-8,-5.8,4.1,2.3,5.4,4.2,4.7,5.5,6.7,6.4,6.5,6.4,6.2,-5.5,0.4,1.8,0.6,0.9,1.4,2,2.5,3,3,3
Burkina Faso,4,2.7,1.4,-1.2,1.6,11.3,8,-0.2,5.8,2.2,-0.6,9.1,0.2,3.5,1.3,5.7,11,6.3,7.3,6.2,2.9,6.6,4.4,7.8,4.5,8.7,6.3,4.1,5.8,3,8.4,5,9,6.6,6.7,6.8,7,6.8,6.7,6.6
Burundi,-6.8,12.2,-1.1,3.7,0.2,11.8,3.2,5.5,5,1.3,3.5,5.8,1,-6.2,-3.8,-7.9,-8,0.4,4.8,-1,-0.9,1.7,2.4,2.5,3.8,4.4,5.4,3.4,4.9,3.8,5.1,4.2,4,4.5,4.7,4.8,5,5.2,5.4,5.4
Cabo Verde,5.3,8.4,2.8,9.5,3.8,8.6,2.9,4.3,6,5.7,0.7,1.4,3,7.3,6.9,7.5,6.7,7.6,8.4,11.9,7.3,6.1,5.3,7.5,4.9,5.8,9.1,9.2,6.7,-1.3,1.5,4,1.2,0.5,1,3,4,4,4,4
Cambodia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21.5,9.6,3.3,1.1,7.6,7.1,4,8.2,6.4,5.4,5.6,5,11.9,8.8,8.1,6.6,8.5,10.3,13.3,10.8,10.2,6.7,0.1,6.1,7.1,7.3,7.4,7.2,7.3,7.3,7.5,7.5,7.5
Cameroon,9.9,17.1,7.6,6.8,7.5,8.1,6.8,-2.2,-7.9,-1.8,-6.2,-3.8,-3.1,-3.2,-2.5,3.3,5,5.1,5,4.4,4.2,4.5,4,4,3.7,2.3,3.2,3.3,2.9,1.9,3.3,4.1,4.6,5.5,5.1,5.2,5.3,5.3,5.3,5.3
Canada,2.2,3.5,-2.9,2.7,5.8,4.8,2.4,4.3,5,2.6,0.2,-2.1,0.9,2.3,4.8,2.7,1.7,4.3,4.1,5,5.1,1.7,2.8,1.9,3.1,3.2,2.6,2,1.2,-2.7,3.4,2.5,1.7,2,2.3,2.4,2.4,2.2,2.1,2
Cayman Islands,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Central African Republic,-3,13,-3.6,-6,9.9,3.7,7.2,-4.3,1.7,1.6,-3.8,-2,-3.2,-1.4,4,4.9,-8.1,7.5,3.9,3.6,1.9,0.4,0.3,-6.8,2.6,2.5,4.8,4.6,2.1,1.7,3,3.3,4.1,-36,1,5.3,5.7,5.7,5.8,5.7
Chad,-6,-10.8,5.4,15.7,5.3,7.9,6,3.6,7.5,2,3.2,10.4,2.4,-2.1,5.5,-0.8,2.1,5.7,7,-0.7,-0.9,11.7,8.5,14.7,33.6,7.9,0.6,3.3,3.1,4.2,13.6,0.1,8.9,3.9,9.6,6.7,9.7,6.9,3.1,3.3
Channel Islands,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Chile,7.9,6.2,-13.6,-2.8,5.9,2,5.6,6.6,7.3,10.6,3.7,7.9,12.2,6.9,5.7,10.5,7.4,6.6,3.3,-0.7,4.5,3.3,2.2,3.4,6.8,6.3,5.8,5.2,3.2,-1,5.7,5.8,5.5,4.2,2,3.3,4,4.2,4.3,4.3
"China, People's Republic of",7.9,5.2,9.1,10.9,15.2,13.5,8.8,11.6,11.3,4.1,3.8,9.2,14.2,14,13.1,10.9,10,9.3,7.8,7.6,8.4,8.3,9.1,10,10.1,11.3,12.7,14.2,9.6,9.2,10.4,9.3,7.7,7.7,7.4,7.1,6.8,6.6,6.4,6.3
Colombia,4.4,2.3,0.9,1.6,3.4,3.1,5.8,5.4,4.1,3.4,4.3,2.4,4.4,5.7,5.1,5.2,2.1,3.4,0.6,-4.2,2.9,1.7,2.5,3.9,5.3,4.7,6.7,6.9,3.5,1.7,4,6.6,4,4.7,4.8,4.5,4.5,4.5,4.5,4.5
Comoros,7.4,5.5,4.1,3.1,4.2,2,2,1.6,2.7,-3.2,5.1,-5.4,8.5,3,-5.3,3.6,-1.3,4.2,1.2,1.9,1.4,3.3,4.1,2.5,-0.2,4.2,1.2,0.8,0.4,1.8,2.2,2.5,3,3.5,3.9,3.9,3.9,4,4,5.4
"Congo, Dem. Rep. of the",2.4,0.9,-0.5,1.4,4.8,0.5,4.7,2.7,0.5,-1.3,-6.6,-8.4,-10.5,-13.5,-3.9,0.7,-1.1,-5.4,-1.7,-4.3,-6.9,-2.1,2.9,5.6,6.7,6.1,5.3,6.3,6.2,2.9,7.1,6.9,7.2,8.5,8.6,8.5,7.9,7.3,6.4,5.7
"Congo, Republic of ",12.7,2.6,2.4,2.4,2.4,2.4,2.3,2.3,21.9,21.3,1,2.4,2.6,-1,-5.5,4,4.3,-0.6,3.7,-2.6,7.6,3.8,4.6,0.8,3.5,7.8,6.2,-1.6,5.6,7.5,8.7,3.4,3.8,3.3,6,7.5,7.3,9,3.5,1.9
Cook Islands,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Costa Rica,0.8,-2.3,-7.3,4.2,8,0.7,5.5,4.8,3.4,5.7,3.6,2.3,9.2,7.4,4.7,3.9,0.9,5.6,8.4,8.2,1.8,1.1,2.9,6.4,4.3,5.9,8.8,7.9,2.7,-1,5,4.5,5.1,3.5,3.6,3.6,4.2,4.5,4.4,4.3
Croatia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-8,5.9,6.6,5.8,5.4,2.5,-0.9,4.2,3.7,4.9,5.4,4.1,4.3,4.9,5.1,2.1,-6.9,-2.3,-0.2,-2.2,-0.9,-0.8,0.5,1.4,2.1,2.2,2
Cuba,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Curacao,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Cyprus,5.9,3.1,6.3,5.3,8.8,4.7,3.6,7.1,8.3,8.1,7.4,0.7,9.4,0.7,5.9,9.9,1.8,2.3,5,4.8,5,4,2.1,1.9,4.2,3.9,4.1,5.1,3.6,-1.9,1.3,0.4,-2.4,-5.4,-3.2,0.4,1.6,2,2.2,2.1
Czech Republic,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.5,-0.9,-0.2,1.7,4.2,3.1,2.1,3.8,4.7,6.8,7,5.7,3.1,-4.5,2.5,1.8,-1,-0.9,2.5,2.5,2.4,2.3,2.1,2.1
Côte d'Ivoire,5.2,3.5,0.2,-2.5,-2,3.6,4.8,-0.5,1.1,3,-1.1,0,-0.3,13,0.2,5.6,8.1,5.7,4.5,1.8,-4.6,0.1,-1.7,-1.4,1.2,1.7,1.5,1.8,2.5,3.3,2,-4.4,10.7,8.7,8.5,7.9,7.8,7.5,7,6
Denmark,-0.4,-0.9,3.7,2.7,4.2,4,4.9,0.3,-0.1,0.6,1.6,1.3,2,-0.1,5.5,3.1,2.8,3.2,2.2,2.6,3.5,0.7,0.5,0.4,2.3,2.4,3.4,1.6,-0.8,-5.7,1.4,1.1,-0.4,0.4,1.5,1.8,1.9,2,2,2
Djibouti,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-4.3,0,-6.7,-0.9,-3.5,-4.1,-0.7,0.1,3,0.4,1.8,3.2,3.2,2.8,3.1,4.8,5.1,5.8,5,3.5,4.5,4.8,5,5.5,5.5,6,6.5,6.5,6.5
Dominica,16.4,6.4,2.4,2.1,5.4,1.7,6.8,6.8,7.4,-1.1,6.3,2.1,2.7,1.9,2.1,1.6,3.1,2,2.8,1.6,1,0.6,-2,7.7,2.6,-0.3,4.6,6,7.8,-1.1,1.2,0.2,-1.1,0.8,1.4,1.2,1.2,1.4,1.6,1.8
Dominican Republic,8,4.3,1.7,4.6,1.3,-2.1,3.5,10.1,2.2,4.4,-5.5,0.9,5.6,7.2,2.3,5.5,7.1,8,7,6.7,5.6,1.8,5.8,-0.3,1.3,9.2,10.7,8.5,3.1,0.9,8.3,2.9,2.7,4.6,5.3,4.2,4,4,4,4
Ecuador,4.9,3.9,1.2,-2.8,4.2,4.4,3.1,-6,10.5,0.3,3,5.1,3.6,2,4.3,2.3,1.7,4.3,3.3,-4.7,1.1,4,4.1,2.7,8.2,5.3,4.4,2.2,6.4,0.6,3.5,7.8,5.1,4.5,4,4,4,6,4.5,4.5
Egypt,3.4,2.2,7.3,8.9,8,7.4,4.8,4.3,4,3,2.3,2.1,0.3,2.9,4.2,4.5,4.9,5.9,7.5,6.1,5.4,3.5,3.2,3.2,4.1,4.5,6.8,7.1,7.2,4.7,5.1,1.8,2.2,2.1,2.2,3.5,3.8,3.9,4,4
El Salvador,-8.6,-5.7,-6.3,1.5,1.3,0.6,0.2,2.5,1.9,1,4.8,3.6,7.5,7.4,6.1,6.4,1.7,4.2,3.7,3.4,2.2,1.7,2.3,2.3,1.9,3.6,3.9,3.8,1.3,-3.1,1.4,2.2,1.9,1.7,1.7,1.8,1.8,2,2,2
Equatorial Guinea,4.8,5.8,2.2,5,1,12.9,-2.3,4.4,2.7,-1.2,-1.8,-1,34.7,11,16.7,17.5,66.6,150,23.8,25.7,18.2,63.4,19.5,14,38,9.7,1.3,13.1,12.3,-8.1,-1.3,5,3.2,-4.8,-2.5,-7.9,1.3,-5.4,-7.7,-9
Eritrea,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.9,20.9,2.3,9.1,7.9,2,0.2,-12.4,8.8,3,-2.7,1.5,2.6,-1,1.4,-9.8,3.9,2.2,8.7,7,1.3,2,2.1,2,2.4,3.2,3.6
Estonia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.6,2.2,5.7,11.7,6.7,-0.3,10,6.2,6.1,7.5,6.5,9.5,10.4,7.9,-5.3,-14.7,2.5,8.3,4.7,1.6,1.2,2.5,3.5,3.5,3.6,3.6
Ethiopia,4,0,1,7.8,-2.3,-11.4,9.7,13.9,0.6,-0.5,2.6,-7.2,-8.9,13.4,3.5,6.1,13.2,3.5,-4,6,5.9,7.4,1.6,-2.1,11.7,12.6,11.5,11.8,11.2,10,10.6,11.4,8.8,9.7,8.2,8.5,8.5,8,8,7.5
